scenario_id,object_id,min_ttc
scenario_e6542c6c-ed34-4220-bfb7-34d50d709662,25569,0.048
scenario_14792e88-f998-4934-931c-730521336f28,128138,0.048
scenario_62f5a0a2-2945-49eb-9324-e69e2dd0f618,92037,0.049
scenario_5fecff3a-bd0e-48b6-88e7-74a504cce3cb,129072,0.052
scenario_7653d419-1663-4e21-b6ca-96ee86f5e615,63079,0.053
scenario_83ef027e-14b6-4e4a-b572-eddf8792d851,67952,0.055
scenario_ef622066-5259-499e-9e37-8be91a8f1364,8738,0.055
scenario_33e34987-f631-42c4-87d0-5d6db621798a,15715,0.055
scenario_90529703-cac5-4c1a-8442-1e4c553e9ad4,79418,0.056
scenario_784c1f2e-844e-4852-a27b-4eec54d127fb,20605,0.057
scenario_7d757981-363b-4054-a496-4504cc03813d,48127,0.059
scenario_b9cef693-7ebd-4f9f-ba18-64216c7ab5a8,44904,0.059
scenario_d345bf53-84b1-486e-ba35-f1d2cf8de90d,3772,0.061
scenario_09775884-1aad-47dc-b280-9d916bb99a4e,35049,0.061
scenario_fc61355a-34ab-4da9-8b2e-c0a81bdc41aa,85578,0.061
scenario_886204d4-3074-4d7a-bdc1-e283c61f1eab,137186,0.062
scenario_707668e6-d4cb-44fb-9f28-1e2b0d0c66a3,53750,0.062
scenario_39217466-72a3-432b-9370-02f9d8c81eb7,32713,0.064
scenario_49fa5e90-a244-4d82-9f13-c029cc3fcae2,70001,0.064
scenario_7321cbd7-d1f7-433d-a331-41e41f6c8f82,15398,0.065
scenario_28341d21-ecd1-4aac-8b14-fc0399f7b130,23478,0.066
scenario_3b7fd8f4-36d0-4a78-a6a9-99e74c0d9afa,70270,0.067
scenario_3b54f8af-cb52-4345-8311-da3367a2b6df,193203,0.067
scenario_da0be278-e083-4491-b189-1cac988eb91b,170214,0.068
scenario_1ef247dc-4bb3-449d-9385-c87d89771011,121143,0.068
scenario_29a4671e-035a-4f2e-8769-26dd5d9ff8b6,61958,0.069
scenario_4f7919cb-f4b7-4ee1-a89f-26b31270a5d3,164574,0.07
scenario_e1916d7b-01e6-4b9f-a4d0-fc5baf86ebc2,74430,0.072
scenario_423e6812-c5db-4795-8ce2-10679d23f3d6,113086,0.073
scenario_ba0cf9c7-b4da-4b24-854e-a93d53f463b5,113086,0.073
scenario_9918d1ea-8a9a-4f2e-ab2c-ab418c7adab4,811,0.074
scenario_121a72a2-054d-42d6-a858-ebbc680f617b,10196,0.075
scenario_03d928f0-e4ca-4645-b305-aa400ea7fa30,186261,0.077
scenario_c1d8827b-96b8-4633-9221-07e90f11159f,84834,0.077
scenario_163c7b22-eb6e-4e6d-976c-1d6f9fc4215f,84351,0.079
scenario_aad38c28-304f-42fd-8e29-97174d6a8cbd,6957,0.079
scenario_d8d4a56e-52f7-4908-b447-366be80cf827,94210,0.079
scenario_43a54cbf-abb3-41c5-8aa4-2fefffdbaf89,15421,0.079
scenario_179ab5d9-0d1c-44a3-90e5-47024eaf8b81,100058,0.08
scenario_431decf1-5307-4741-a000-f692c227e923,36076,0.081
scenario_0269f648-67e5-4dd9-b6bb-1c2de5c20e90,144959,0.082
scenario_e69e1170-52c7-4a24-9018-e45d5f8f4682,60101,0.085
scenario_2125fbfc-933c-452e-a880-0b135760f214,36518,0.085
scenario_cca37215-67a9-4ada-9e3f-eedfa37bfbe4,131707,0.085
scenario_f3aa7867-3c62-4e8d-9cce-82646bc5b547,8512,0.085
scenario_c7b5084f-b5b2-4785-8a32-14e196e7475b,36518,0.085
scenario_62bea812-57da-4a74-8018-902104b5d294,48013,0.085
scenario_f6b69c0b-b2bd-4377-b9f6-bfca2acfb2f8,95351,0.085
scenario_f7bf0836-ab81-4789-97ba-bf476187f8f2,10404,0.086
scenario_ff1f39a2-4b20-4455-b0a2-9f9fa174ba5f,95571,0.086
scenario_fe619758-f065-4c43-95f0-2031dc0cc56c,107819,0.087
scenario_67a3404b-dc0d-4a56-94a8-220c6754897d,21436,0.087
scenario_4ea96f3c-9044-40ed-92d2-9605e72ef9c7,64039,0.088
scenario_50204144-9675-4ee6-b38a-ba4e50e784e9,216930,0.089
scenario_8513b408-f0a4-4add-8901-c1b102e0d424,129381,0.09
scenario_cb6d736f-18e3-4122-8d20-431a6160be0b,48746,0.09
scenario_dab2b47d-456b-494a-b662-88a9aff3d4a2,35959,0.09
scenario_c2467ced-c89a-43fc-a1d6-275dfbd68e60,4327,0.091
scenario_dc0fcc8b-749f-44ba-aa61-43af9c58f250,161433,0.091
scenario_1e760a9c-4caa-4c56-b9cf-e0d9c77bf5ed,170480,0.091
scenario_4ae74d37-9f23-48ae-8589-3d7b35be1046,53030,0.092
scenario_8b374a81-b502-4240-9c63-a95e03abbe2a,39783,0.092
scenario_e96b4978-43a5-402c-8407-8ce5dd528067,12708,0.092
scenario_99e162a9-5568-4a0a-a1c7-6c826577cb38,4441,0.093
scenario_5599ef8e-49ae-44f0-b5ab-addef641c8d0,75180,0.094
scenario_8844aeca-122d-4e73-9593-d4fa6cf40d2a,34537,0.094
scenario_e2ccc036-4292-4724-b850-1e86fefe50de,33824,0.094
scenario_e132f1e2-5614-4df8-86e9-11cf26bfca02,62000,0.094
scenario_9626e3c2-4d9f-4e30-993c-cb3864607d18,102798,0.095
scenario_2f643dac-a526-4034-b92b-055bc7dd58e6,19732,0.095
scenario_6618685c-34c1-41b8-8b6a-66ed22517011,22093,0.095
scenario_a8beabc0-8abb-4d02-a226-8e013779e9f1,50070,0.096
scenario_55de4e23-abdc-4a16-8990-d76d9f634b86,88564,0.096
scenario_b5f18573-44ff-42a4-a98e-74cd92db73c5,186261,0.096
scenario_03aeb3a9-01f4-41b3-b06a-c84bb14e734d,128238,0.096
scenario_9778327b-63e6-45de-b5a4-435a8f3d20d4,128238,0.096
scenario_f408912c-ef2b-4c27-a8a4-7d28acea2067,15360,0.097
scenario_4c1a480d-6d5e-4346-86e6-7efc6fd65039,3888,0.098
scenario_c1dba20a-097e-46a3-bfbe-340df41a7232,30884,0.099
scenario_4187f837-74a7-4c04-b518-8ec984cf3408,25196,0.099
scenario_5937b235-7ff5-4b66-9224-68ccfe0505f9,49650,0.099
scenario_e0436b3d-ff0b-4a1f-b824-0a4ac7db4c28,168790,0.1
scenario_a12ae019-428b-43cc-b22b-ba597f82c260,123590,0.101
scenario_437aec8e-7952-41a5-81a7-9afd7feae514,117770,0.101
scenario_3821d23b-3fea-44e2-9d45-f8059d504cbc,157604,0.102
scenario_805ab3ee-a38a-46c9-a95f-a040e3e94084,10974,0.102
scenario_66e884c6-df26-45e6-9c98-4c2d0de4677b,73671,0.102
scenario_5cdf0d91-133c-45fa-bb4f-5947aae4bfcd,23875,0.103
scenario_b7a583c4-90bb-43a9-92e6-a6e22f2dcd7e,15601,0.103
scenario_19dddf05-05e3-49fc-88e2-9c8eaf1027fe,15601,0.103
scenario_1bbf2fef-23e5-439d-94b5-8ca42c835fea,63924,0.105
scenario_f7fc5741-01e3-46b8-942f-b1b37e971441,45519,0.105
scenario_dc6bbdd0-4362-47bf-bd9e-549cc7673017,45519,0.105
scenario_91d1da1e-ffd4-477a-bf19-7f3e02f846fb,32001,0.106
scenario_26f70b6e-a0a6-4530-8667-db34b5235fc2,91715,0.107
scenario_92f9f139-79a2-4d9a-8ea4-ac1d7c42c39e,79064,0.108
scenario_26c4f65d-360e-42b4-8411-6ce2f5f2b321,41612,0.108
scenario_bb2e5ca2-141e-4fd9-8837-67fe26746189,39506,0.108
scenario_f87d822e-92c4-4be8-9fab-b69e8ab0213d,84144,0.108
scenario_ae30dbfb-1735-4332-9190-9bb1ebd92748,57739,0.108
scenario_b910dd9b-5622-47c3-aca8-93e4c34b7b66,126507,0.11
scenario_40b789e4-4b42-4f33-8dc8-4ed9e4d3e73d,80839,0.11
scenario_d3862cdd-6b19-4e80-8b02-c068fc96541f,174100,0.11
scenario_ff309a35-6754-469f-80b8-02e31b3cd57c,116719,0.111
scenario_a7d3c3fd-86b4-4f11-b7d2-3cf33609f208,104672,0.111
scenario_a44e78f6-f6d5-4414-a17a-987631e729ed,167504,0.111
scenario_930d347b-9476-4893-aa5c-680eda254dbc,12238,0.111
scenario_c33ae888-418b-4651-8a92-b4f7718bdade,30577,0.112
scenario_607b39dc-4029-4e62-825c-ea679def84ad,48352,0.112
scenario_9f56ce3f-381f-4dc3-af31-79fea99e21e3,33672,0.112
scenario_48a160e1-5d4f-474d-9660-4b3799133ea4,183903,0.115
scenario_d17c354c-e5d8-4a67-a508-c1f971414e28,37867,0.115
scenario_15496d69-3c57-4be6-9d2a-06f577274219,13880,0.116
scenario_344715b8-8a41-42c8-a440-4e8a9c021ab7,87148,0.117
scenario_90363019-306f-482e-b645-41e8f601032f,109100,0.117
scenario_f2c545ab-dae4-4ad0-bd1a-87bdcddb568f,64399,0.118
scenario_b7a8afdc-8334-4c67-af0a-39dcfe9b5a05,239611,0.118
scenario_b2fad35e-2fe3-4946-905a-e7d79183c402,92280,0.119
scenario_9769523b-5d3f-4a5c-bfce-174a3567b8d4,110798,0.119
scenario_84d0182a-0ae9-455e-991e-d0cb58986221,12431,0.119
scenario_751c848e-e333-40f6-9cff-21b4b44d3a4e,112341,0.12
scenario_3381ef26-d282-469f-81c3-d15c8ea5d049,15754,0.12
scenario_7ae8a31c-6597-481d-9375-5e58f6c31ca3,168047,0.121
scenario_f145e096-736c-419a-8045-f7ec65617d9b,14614,0.123
scenario_8e6f6bcd-005b-4cc4-b715-eca62a71ab2f,117667,0.124
scenario_88520ceb-2349-4068-a4d5-adcac951ce77,48380,0.125
scenario_68c1798e-d936-4882-91ff-9e2090e7953e,174012,0.125
scenario_34c3c278-aa13-4b45-ad48-8584bdd2b16f,28193,0.126
scenario_b105261c-623f-425a-81b0-ae71dd6c2e1f,55833,0.127
scenario_51123352-027b-4ac3-8ddb-f4490538e7fb,70270,0.127
scenario_0edc1b52-d65e-4151-b260-d6b3b5cf5444,69257,0.127
scenario_c071ce40-4624-4ce2-b254-05b36dad1bdb,65376,0.129
scenario_52bd3a7e-2782-449c-a405-5bea980d6a1f,47509,0.129
scenario_48013c39-1a73-4e67-b1e3-9a8ef1c74c11,25254,0.129
scenario_fe8c95bb-ad89-4699-bc8b-951fd5c89b56,14462,0.129
scenario_0e5f4c94-7ca8-4ea3-8c9c-7f5dfba625b2,26488,0.132
scenario_f84a2e62-7f8f-4744-845d-85f36f3c5bbb,50524,0.133
scenario_e9ccffa7-ebbe-4f2e-9745-bea784a1651c,239205,0.133
scenario_f320d70e-ad08-4d43-bbc6-fdee07ca7d2f,186060,0.136
scenario_c03c6627-2c73-4087-bb16-9d8787ee4de7,27194,0.136
scenario_6f30c809-879c-4288-930c-2938286b6333,12428,0.136
scenario_83de6d7c-291f-4740-a56d-895f583459fa,122878,0.137
scenario_1e6b679b-3fb5-4a20-922e-972ba90b9c5e,92871,0.137
scenario_83fe65cc-75a9-47da-9a2d-4ffaf8d22879,33579,0.138
scenario_9330532a-c1ae-467b-b0bc-a5a09d22f0e5,46255,0.138
scenario_670d51f6-a85d-47b5-a821-5da9eb6ebd3b,166161,0.138
scenario_9eeb991a-4e2a-4b75-80f5-6e0257a756ec,11456,0.139
scenario_16381cc4-21c2-4dfc-b1b6-a2903132bb3a,60292,0.139
scenario_9f8c6f66-4e56-41e3-9cf2-f132aaaaef39,213147,0.139
scenario_6671383c-7cd3-4954-9848-915a397a20da,30745,0.14
scenario_6151f570-49f7-467a-9d9d-375f368d01cc,63083,0.14
scenario_90a73477-afd1-48d4-8465-b0d9f21590db,240753,0.14
scenario_957523ed-3bd8-4745-8e93-310b9ecce28b,113246,0.141
scenario_874241d4-a590-4962-bb26-f283e70aebd4,104291,0.141
scenario_8ad53aa2-294c-4db9-ba06-0fa9fa44ab32,206669,0.142
scenario_6ab1435d-7a7a-4a2c-b133-b0ed746c539c,74899,0.142
scenario_9fde5031-ddc9-4a54-9f24-f80df5397220,123266,0.143
scenario_c2dca09a-9b84-4bf4-9fb1-ae95b5412ac0,31288,0.143
scenario_b815fad7-0e71-4d16-ab82-2b4cb18db235,72331,0.144
scenario_a6957c81-4609-4a18-84ea-33ae5628432d,95395,0.144
scenario_6d904e8e-d36c-4bf2-953c-e93e254a5df8,41876,0.144
scenario_c5f001f5-9b7f-445b-a25f-affa41f27b3d,25320,0.146
scenario_ba0ff0bc-2893-4386-a246-0e7fbcbf0bfa,80683,0.148
scenario_9025efab-6fc4-4b3e-aa1e-c40614d564ad,145,0.148
scenario_7cb4a2f2-e1fc-41ca-8df4-48d29fb6eb68,16456,0.149
scenario_96099c87-0eaf-4ed3-bb2e-349b92ad4398,15629,0.149
scenario_1068af9f-84c4-4dfa-be95-f7cbc5655b93,117213,0.149
scenario_704e328d-452c-4b2a-ad9c-5d7f4a95fc75,35610,0.15
scenario_22c01427-8e0b-48e4-8c2b-79c3e33481ea,3182,0.15
scenario_b5f4cd63-8be0-4978-8c33-140e57b7cdc4,16164,0.153
scenario_6dd07ba5-9464-431d-84d8-6f2ec5ef6070,106246,0.153
scenario_4a4adb78-01db-4f57-ae76-6f3d5cf45ba0,213460,0.153
scenario_4079a39d-bf6c-4524-bc4d-bfe211e6e1cf,1523,0.153
scenario_b8ce3036-eb40-46c4-bcbf-8418035a95d9,87295,0.154
scenario_94c63736-b6af-4f1b-816b-2f49e8d97d6c,2474,0.154
scenario_912b855c-7f45-4102-adba-b193cf6cf119,204247,0.154
scenario_82ed924b-6c84-459e-906e-67567929fe8c,106265,0.154
scenario_4a50ca39-28c6-4029-a0eb-5f020d996786,131543,0.154
scenario_92de492e-c6ec-41b6-b3a9-253f3a2bfe07,112884,0.154
scenario_0c7653af-1396-45ed-874d-b9a4d0463a8a,189097,0.155
scenario_99f825a9-a376-4fd7-87ae-983a2ed28f7e,236277,0.155
scenario_b1ce1de7-9c28-411f-8fc7-29217f0f65db,275973,0.155
scenario_e3ceb7ed-0658-4e16-99a5-ab15f0eea987,137997,0.155
scenario_4c9600f1-7232-4999-b252-4f9b8869005a,122983,0.155
scenario_e81bddcf-6981-49bc-a60a-edb3b7170919,18630,0.156
scenario_d211809d-6831-4444-968f-17ff9fe85109,2215,0.156
scenario_886246b4-8c87-48a3-aea4-c9e124c09c82,22760,0.156
scenario_45c12692-979f-45a0-93f8-8d21bacb775b,22760,0.156
scenario_98f3f7d1-5ac0-488f-93ff-cf5cc2cd68cd,31750,0.157
scenario_bf34a9fe-d914-4dbf-bb43-1440dafe45e4,144035,0.158
scenario_ce761ae7-3b16-4a74-bd46-8b7430015adf,61482,0.159
scenario_c47cd33b-ba64-40fd-b080-3d1b0f589a68,17954,0.159
scenario_ed664aa8-a3f6-4010-ae31-3fbec81f425e,14809,0.159
scenario_9e36395e-0e38-4448-bdea-d773792da121,157086,0.16
scenario_950b7ebb-dd32-4e48-9474-252a9ccda28c,47399,0.16
scenario_67b89f0b-6e13-412c-8ab5-f133bbb5c7e3,39889,0.16
scenario_9d8daca3-c1df-4c9b-a614-937f4ab5185f,99066,0.16
scenario_74724fa4-e903-4af5-a5f8-c8cc348aebeb,48156,0.161
scenario_f21d57b1-d9ef-4a7a-b3f6-2e3e9a6c7324,48156,0.161
scenario_92b95ca4-4720-431b-adc2-2ebdbb8d1a6b,122658,0.162
scenario_20ed02a2-a902-4d88-b607-47021587dfd1,56600,0.162
scenario_d4b65ad3-15f7-47f3-9ee4-5e51995b36a5,130147,0.163
scenario_66d63894-78ec-4de6-bf98-d73e5fae8f97,38076,0.163
scenario_6edaddb8-df3f-4b9c-aaff-9e9e7575e471,73959,0.163
scenario_941fde27-0870-4527-948f-a2391858f490,22484,0.163
scenario_f0591734-1b4d-4c38-8ceb-b99f7ecd0465,35355,0.164
scenario_8641a6d3-7f1b-49ee-b474-a98dcbac3b92,3286,0.164
scenario_eeb6a268-9fea-4925-879e-ea62511ed8d3,30316,0.164
scenario_2501401a-0234-4b57-bb0e-1f11d612a92b,23341,0.165
scenario_97dc27ef-f2ce-4926-9794-99820e1d4227,142274,0.165
scenario_69ed2319-2b91-47b2-accf-dc95e2f57528,22144,0.165
scenario_84db3815-4b0b-480d-97b0-85a43abd9c04,86449,0.166
scenario_85e86690-c09f-4763-a97a-e3dc87c1acd1,9694,0.167
scenario_364d8c55-2b02-4b3e-af86-5aa7c330926e,4559,0.167
scenario_5123dc8e-e66c-4533-b99f-b6e3d0329a36,71953,0.168
scenario_a62202f8-dbf2-4dcb-9c06-9163fa28757d,239778,0.169
scenario_3ff55951-40e9-4869-8d81-693445bc0ffb,16694,0.17
scenario_8e1f7fb0-0a53-45cd-9ea8-9b6536fd967c,98855,0.172
scenario_5782837f-801c-4c9a-beda-ec75d928354c,3913,0.173
scenario_3db9438b-702d-4784-bcbe-53f085baee18,20624,0.173
scenario_6674a0ca-a4ed-4bda-80e0-8280767b7ee9,133934,0.173
scenario_42925fad-552d-436a-b89a-ea1e6eb18d2a,1309,0.174
scenario_6f627700-60b2-4621-b34e-e39db26ca5a1,51898,0.174
scenario_f28864dc-42e5-460b-ab5d-80dbc2c8088d,24910,0.175
scenario_fd8f84e3-2af1-4090-9efc-0c0aad658614,15070,0.175
scenario_4a595609-7eed-41d8-8011-6fcaf171c68d,38914,0.175
scenario_b35bf610-e520-47af-ac98-3ff5a94548cd,27605,0.175
scenario_f700e1b2-94f4-469c-a208-ac982c77195b,135918,0.175
scenario_25d52650-d56b-46f8-a8f8-032b6c8f8bb4,23493,0.176
scenario_568bd5cb-9e8a-4f57-bb12-bd22d226fef5,46222,0.176
scenario_c08e8232-a992-46c7-a327-902baf7278c2,22089,0.176
scenario_5e942126-8677-46c8-8f93-b5efb4a63f7a,1995,0.177
scenario_784b9510-72a4-44dc-9905-e0a4ed2f3d0d,30209,0.177
scenario_b5f9f795-1a25-44bb-ad23-5bfefa43dbc7,14872,0.178
scenario_e1e06aa8-0d58-4c21-afc3-07a9cd8e3f2d,7604,0.178
scenario_84150056-7908-4ee8-9a26-260e5913eb39,142108,0.178
scenario_fa7df190-9da7-42cb-81ca-c7c2b6ca5403,66336,0.179
scenario_4952fccc-d094-4d58-a3f1-c84a5cff93c8,38568,0.179
scenario_f12e6dee-4a66-427f-848a-b209903dcd43,41018,0.179
scenario_4df3ffc6-bd67-4bc5-9519-fbea8fdb9c1c,60964,0.181
scenario_e0d3577e-6bfa-4a52-91d8-45d43c3b56e9,80723,0.181
scenario_6483d7d2-510f-4194-a563-bcb7c81c27ab,14540,0.181
scenario_81224f03-2bfe-4847-8c75-058c66834bfc,29102,0.181
scenario_37c749f0-cc1d-491f-8198-d6725c6032ec,67751,0.181
scenario_d4795e19-2dcf-4971-8b8f-cd0e43064aa8,237140,0.181
scenario_ef9ab0c8-e67a-4623-a520-b0d6a55bc404,79805,0.182
scenario_cd1f7855-7954-450e-9773-deaa21f5aa10,144427,0.183
scenario_ad74cb75-fad9-48cf-836f-29b5d01fc1d4,50255,0.183
scenario_61c8e6f8-0602-4661-ad7a-0b0e04b25468,16731,0.183
scenario_f0684000-7df8-4bac-92ff-7144a0f633f4,121437,0.184
scenario_bb851035-88d0-43b8-931d-96503106aecc,129839,0.184
scenario_23bdebb4-baa6-4e24-b3fe-ddb35f395ee9,40019,0.184
scenario_0c4da025-fb96-4f39-9ef9-4a38e9c37373,17705,0.184
scenario_f0dc7139-0782-455a-af0a-d1c046f1aa2b,17705,0.184
scenario_45e4dc48-2693-4e1d-ba83-1badc387cb68,43693,0.185
scenario_9ec11b0a-c787-456f-82f6-60f367fcf1ae,45779,0.185
scenario_a17cc2ec-9695-4072-b213-b580a4718ae9,28878,0.186
scenario_d36eb4a4-f9a8-46e1-bf16-439177b1b180,29741,0.186
scenario_3ea8d10b-0e83-4a97-825b-99919d4e788f,6169,0.186
scenario_a9443c03-71f7-4d52-a069-67df2fe00f1a,19393,0.186
scenario_eb3e0f24-89e7-4735-af62-c5eb3f10e42b,36374,0.187
scenario_610b9a11-2c1d-462e-9e9f-db11386d634d,19061,0.187
scenario_7cb567c4-70b6-4797-80e1-c75427e2b1db,20452,0.187
scenario_1326488c-744a-43d0-8663-63732d1b3299,35659,0.187
scenario_497ec241-ef99-45ff-96ca-fe93345f0cba,16064,0.187
scenario_74c2ede5-a8d4-4397-b2c8-e57293fe92ef,2621,0.187
scenario_716ffd6e-93ef-427f-bcad-879181b20665,32207,0.188
scenario_22ec3782-28a2-44c9-a4f8-62f679cf985e,21114,0.188
scenario_a74678be-1711-4cb0-b6b8-385bec1e03f3,29050,0.188
scenario_668ed475-d5f7-4a25-823e-1fd7511b8f8e,16878,0.188
scenario_74cf75df-d4ea-4981-89bc-c94e0849305a,2756,0.188
scenario_c260a5d3-ac83-4a27-b3bc-e810c61bee53,202183,0.189
scenario_3bd7545f-42f8-4383-bc7a-7e9fe9d8c4ed,15072,0.189
scenario_a8fa7a5a-ce25-4417-b37f-f7715cdf4b49,7879,0.189
scenario_5a9372fc-ef8a-484d-9fa1-6432d5df8b19,69873,0.189
scenario_4e461ca4-a72a-4147-9786-c8d564f8c60b,94897,0.189
scenario_68bac40f-2aef-40b4-ad47-c0485e4e750d,60946,0.189
scenario_d0207fb0-247e-4f1a-9f2a-df903bbde661,8423,0.19
scenario_6f5ba33a-183f-48f8-8f3d-b1fcf5de1df4,21682,0.191
scenario_88d4a4a1-c362-49af-a147-a02aaba0264a,68264,0.191
scenario_3a16bd41-9606-4a0b-9ab5-75c3b134a1bd,21092,0.191
scenario_ab1e4f08-a05c-492f-8f2d-50be08f22970,36175,0.191
scenario_59f04975-c026-482f-b86d-a9c99d571437,21682,0.191
scenario_68d73055-f367-4435-90f5-54681de6d057,33802,0.191
scenario_920d502e-89d1-4a08-8052-b2ddd2930218,86546,0.191
scenario_be30ce33-75f1-445b-943a-4929ee011ad5,38415,0.192
scenario_8303ed23-d5c3-4a36-9e80-71a46ca8c197,86445,0.193
scenario_a1835536-46c7-45e3-9b0b-199f4ba96c95,63995,0.193
scenario_fd618da1-ed76-4cf2-bd33-8f0fa3369957,24567,0.193
scenario_e325f2aa-595a-4e6e-9662-f30eb2fa6273,16364,0.194
scenario_7fc07e85-15bd-479d-adb2-fb06e05ca655,89167,0.194
scenario_fcadf5a7-148c-4fa1-8d2a-581fbd8f037e,85371,0.194
scenario_f9018540-617d-47dd-b531-24edca654511,41951,0.194
scenario_a249cfc7-79bb-4b8f-953e-8354df773b02,17014,0.195
scenario_3259c980-fa19-485a-aea6-5b3d51bf65d7,50146,0.195
scenario_bbbc9602-a543-42fa-90ba-d92e2305321b,72192,0.195
scenario_bda724ef-ea63-419d-b3a9-8c449c855ec8,34551,0.196
scenario_8115f312-489d-4fcd-8a17-55f90805deef,133492,0.196
scenario_05be7e36-8c21-49af-8dbb-8d08d344fee9,3175,0.196
scenario_d9c66f37-a258-4ac6-a5b7-19649bbb905f,133492,0.196
scenario_c716fabd-2a91-486c-a637-df58dc66c8dc,50856,0.196
scenario_abf2f03c-25c1-4c72-bb05-c3915e5fa1d8,129694,0.196
scenario_eac0a107-3ac5-4158-883d-86afc6d1621f,111850,0.197
scenario_5e396057-fdcb-4764-9830-e8d810c21089,32062,0.197
scenario_236ecaf8-8159-4d45-9f1d-1799dbd64a2d,13484,0.197
scenario_d5b528ef-970c-42fd-9e7b-42971a78fec8,18611,0.197
scenario_ef42f6c7-5d64-4749-920f-361e9d65284c,30655,0.197
scenario_122faf6f-8b4f-4058-b721-7454f12417d4,35623,0.197
scenario_929aa027-7789-4b37-8dd0-8488acad5dc3,82502,0.198
scenario_074355a6-801e-4cfa-9f1b-e32b465da6f7,49433,0.198
scenario_717f92ea-9ed4-444e-98b1-aa49a6971c8f,1623,0.198
scenario_c84efeb0-f113-486b-ae65-3d7818fbaba2,500,0.198
scenario_d246583f-8060-4d72-a552-c369b82a39b3,18014,0.198
scenario_4b0d6aae-406e-4a43-9473-a1b05abb2f98,11453,0.198
scenario_bff36fb4-3d6b-4c4a-8873-662d9a541083,77146,0.198
scenario_2d3da20e-5058-4f38-82ad-f3fbbf25a8a2,130092,0.198
scenario_5ae09f86-b19e-4b2f-91a6-b7be0494c122,34773,0.198
scenario_e6c5da84-931f-43b1-a052-e1b1f6a22d51,72319,0.198
scenario_e36a21d0-a777-44be-9609-5f6990092799,17182,0.199
scenario_93d10e71-7fd7-43b7-b82d-3393f6d3604e,14068,0.199
scenario_e0f9dcb4-ad38-40b4-91ca-e4b4fa790f93,105514,0.199
scenario_dd2d00f1-7c4b-4347-b0bb-f130c79fe0ea,96177,0.199
scenario_71b40549-4e44-4ba3-aa77-5dd2db9ad367,158111,0.199
scenario_59a3f44c-e08b-48d9-881f-bd1e787d33b5,1003,0.199
scenario_48f97385-c97a-423e-abc6-8a0462bd1be4,11618,0.199
scenario_5f012d6c-7595-4491-b355-9d77539bad5a,10780,0.199
scenario_acbd0cff-9449-47ca-b1e3-ab2aa1ccb373,38203,0.199
scenario_481e0cdf-f62f-4370-a8cf-1e06d5d41a26,8771,0.2
scenario_916fe8d9-f91a-447b-91dd-2a237a807cc7,32178,0.2
scenario_126e8478-6788-4e78-8dab-b79f249b8cf4,14637,0.2
scenario_441c6d4f-fb12-46d4-a96f-bf9f1540c383,54432,0.2
scenario_4a78037e-ade7-4376-97f4-740f35e35e9f,18628,0.2
scenario_f68d97d6-6073-4e28-84ba-7b335e454d2a,8771,0.2
scenario_033454a7-169f-425d-8649-0ea712acd324,27564,0.2
scenario_83bea3e9-9ab5-47ff-b6c6-502d4abd09b0,27564,0.2
scenario_ce14a2f0-ed1e-43e2-9901-e124701ad31d,69514,0.2
scenario_f4ebe2b4-7f96-4438-ad37-2058c085014f,138114,0.2
scenario_c633a3b0-0b4d-4117-97d0-dffa89add40a,165677,0.201
